Project_code	Submitter_donor_ID	Normal_WGS_aliquot_ID	Tumour_WGS_aliquot_ID	Stars	Mean_Coverage_Normal	Mean_Coverage_Tumour	Median/Mean_Coverage_Normal	FWHM_Normal	Median/Mean_Coverage_Tumour	FWHM_Tumour	Somatic_Mutation_Calling_Coverage	%_of_paired_reads_mapping_to_different_chromosomes_Normal	%_of_paired_reads_mapping_to_different_chromosomes_Tumour	Ratio_of_difference_in_edits_between_paired_reads_Normal	Ratio_of_difference_in_edits_between_paired_reads_Tumour
BLCA-US	096b4f32-10c1-4737-a0dd-cae04c54ee33	e0fccaf5-925a-41f9-b87c-cd5ee4aecb59	301d6ce3-4099-4c1d-8e50-c04b7ce91450	5.0	37.98	45.40	1.026161932	0.088868204	1.03891383	0.1526454292	2802267820	2.14	2.32	1.177727524	1.200457971
BLCA-US	178b28cd-99c3-48dc-8d09-1ef71b4cee80	c1da8eed-4919-4ba5-a735-3fba476c18a7	4838b5a9-968c-4178-bffb-3fafe1f6dc09	5.0	31.50	33.65	1.015003444	0.1143521671	0.9810374035	0.0970321859	2746502272	2.41	1.80	1.219269769	1.093826072
BLCA-US	1e308b12-0590-4dae-94d0-a539fcf25df7	d6e91f4c-38c0-4393-9cb7-be076663dff3	c66c92d5-df65-46e6-861d-d8a98808e6a3	5.0	32.72	30.71	1.021017287	0.0958669971	0.9680896403	0.0850690076	2733112222	1.97	2.03	1.178551636	1.159640036
BLCA-US	24f21425-b001-4986-aedf-5b4dd851c6ad	f88b2f4c-15f1-4808-bcec-89abc7466de6	973d0577-8ca4-44a1-817f-1d3c1bada151	4.5	37.60	39.17	1.012371735	0.0930990932	0.8938261781	0.0705272613	2773264275	2.93	2.12	1.188314926	1.198254988
BLCA-US	3ed614e7-f356-4d87-985b-d3bbbae3bb40	c14e29aa-a979-4452-8019-7eebfb3d5d04	91f458e6-64b7-454d-a542-b0aa23638fd8	5.0	31.90	33.55	1.011832622	0.0831299014	0.931185947	0.0811265761	2633835339	2.05	1.95	1.003749524	1.063998036
BLCA-US	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	21d0907a-ac47-4a72-8f6c-74d25949fe11	8c619cbc-9e91-4716-9711-5236e55d8f46	5.0	35.26	37.19	1.021810305	0.0835554437	1.020638484	0.0927972451	2762327052	2.58	2.28	1.200905113	1.210235728
BLCA-US	493a4ff2-37a5-4b79-928d-83dbfe534556	b90f11ba-2f30-4d5e-b218-6d86d4fc2f46	abd2d959-d5ed-4eb3-9759-67eb1aa23325	3.5	34.65	53.72	0.9139037477	0.1944227253	1.015229548	0.0795773553	2796261897	7.58	1.65	1.226405807	1.163489952
BLCA-US	556fcbc8-172a-4af1-8822-ae036e8d68e8	e34479b8-834f-4747-984b-e77272f1379d	0c7aca3f-e006-4de3-afc2-20b4f727d4fd	5.0	33.73	38.85	1.022415367	0.0921883991	0.9618726891	0.093383376	2758800442	2.13	1.57	1.174628594	1.10191917
BLCA-US	56d8a1b8-1268-4362-a7f1-77b76fbf1b59	0afe697d-20f1-4f51-a0a9-797d01afd397	804ffa2e-158b-447d-945c-707684134c87	3.0	35.52	59.50	0.8556198556	0.7232551169	1.044461038	0.0952288703	2755920103	8.87	2.15	1.102580261	1.195575815
BLCA-US	5d54c742-5a8e-4c40-8d62-95e75e210ab8	60e4591c-6ce7-4a65-8355-653f5c41cd2e	2b142863-b963-4cc9-8f8f-c72503c93390	5.0	37.57	36.19	1.014285654	0.0819895267	0.9889443791	0.1048339222	2751260833	2.44	2.74	1.150490595	1.34808746
BLCA-US	797a71ee-372d-41e5-aeee-5ab3c4661110	a2b2e34b-005f-4803-9bc2-5f16b5cc8534	45a7949d-e63f-4956-866c-df51257032de	5.0	39.66	36.38	1.024299514	0.082543432	1.003202604	0.091743628	2747190176	2.35	2.07	1.193370686	1.169695544
BLCA-US	7fee9d6f-c0ea-43c2-89c2-66d965a077a8	7c729b94-1488-4dec-b534-5d73530e535c	acc629cb-ad03-4cec-9b21-922e4932ef3e	5.0	36.05	39.76	1.025096513	0.0823607736	1.036308398	0.0951365952	2777304026	2.34	1.63	1.003753444	1.15108197
BLCA-US	8c1dd7f7-b74a-4fa2-b6a7-86f0348d2567	c648ad3a-6db3-4079-95c0-66010a038a91	d4615ca0-b5c7-4a5c-8593-bd50034a78ae	5.0	45.40	46.52	1.015675377	0.0695083875	0.977548669	0.0762446993	2808477024	2.02	1.92	1.171396679	1.137526964
BLCA-US	904a8757-e0c5-41ef-b583-c8f170caaac1	68402877-a578-4bfd-a05e-58c6e06fb6a3	448fe471-3f4e-4dc8-a4e0-6f147dc93abe	5.0	39.43	33.08	1.028110766	0.0814659254	0.9952282727	0.0827735766	2751817743	2.51	1.76	1.192171291	1.194533186
BLCA-US	932bcdd4-5145-49e8-9a95-8a546396f572	f7ffcce9-2a24-4abe-8f8c-b9ba6a770803	cda1a403-16b6-487c-a82a-c377d1d0f89d	5.0	34.13	38.50	1.019891436	0.0973947221	0.9923263611	0.1200642376	2763233948	2.08	2.32	1.144424693	1.174213192
BLCA-US	9c274536-3ca1-4f0e-93a8-1688074d862f	fcdb086f-6e88-49ce-a202-b611584a080c	df8a913c-5160-4fc5-950d-7c890e24e820	5.0	39.91	33.15	1.02369571	0.0781637445	0.9233810699	0.096135075	2738655847	2.16	2.31	1.173323011	1.16683713
BLCA-US	a658becf-3934-49f2-9e74-291dca61d4bb	8aee029e-9da1-4714-933a-7613313dd998	418a3dec-96ff-4719-becb-e1a8260cce2f	5.0	37.50	41.77	1.026602405	0.0891455255	0.9730044936	0.0954823012	2795679329	2.29	2.35	1.21958226	1.203537986
BLCA-US	ca554128-da9d-4f37-9560-ca083509e01d	df7ba0ba-91dd-453c-b60b-699994ec4b3b	f389176f-d8f3-45c2-aae4-7378a3d6fc7f	4.0	35.00	34.20	1.019821585	0.1168984998	0.9250834332	0.1686588075	2354328612	1.96	2.70	1.084562301	1.1819993
BLCA-US	cb664eef-be6f-44ef-aa90-6f6da0e6440a	c79e40d8-3c21-4219-81f8-c448a38f0f18	b73523d7-f5a5-4140-8537-4df4d1ecf465	5.0	34.65	39.05	1.025980861	0.0923454607	0.955034159	0.0837964516	2767738366	2.29	2.92	1.185095426	1.42772444
BLCA-US	cce62116-3dcd-400d-ada0-9839ca02466e	db3bb39b-a1a6-49af-aae3-7cb489a724e4	ffdd4feb-aca3-4104-b1e8-954d705a6450	5.0	39.53	33.40	1.014080958	0.0890033209	0.9376975829	0.084884643	2763630777	2.87	2.00	1.278668981	1.185701311
